,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,13,1964,5470,2089,11623,2849,2109,22359,1458,105,40,5905,7519,2574,885,3342,0,6037,9035,4282,738,1418,6136,213,182,402
B,2137,165,0,5,227,0,3,83,667,0,8,31,737,117,958,6,0,417,157,7,679,0,5,0,100,0
C,3907,0,744,9,3410,0,1,5,4848,0,4,417,0,6586,963,0,0,939,1390,413,2318,0,0,419,3,0
D,7670,12,0,590,15851,0,91,35,5611,0,1,4827,0,25398,2683,1,0,3420,46,2,775,0,50,0,6,0
E,55,9839,6759,8211,7124,3010,3834,51775,4378,463,4490,10906,11238,9256,608,4687,0,23378,14841,14437,1879,13792,5630,209,1118,331
F,882,2,0,43,1914,1464,0,56,3197,0,9,1932,70,451,14541,7,0,229,343,65,235,0,44,0,10,0
G,2315,0,0,293,1061,0,297,0,3992,0,1,87,0,13927,452,9,0,667,45,2,2293,0,2,0,4,0
H,61,7,10283,6,318,2,5223,10,5,0,19,3,1,98,77,431,0,195,6224,60321,0,0,9540,16,16,0
I,7079,606,1994,4399,2903,2404,2126,18769,173,19,1581,6400,3475,3468,1157,1271,0,6697,4580,7609,3792,2715,8050,238,741,39
J,91,150,0,15,87,0,0,0,7,0,0,1,0,188,106,0,0,33,1,0,1,0,0,0,0,0
K,2518,0,1695,10,230,0,0,0,791,0,1,255,0,739,1514,6,0,488,721,0,262,0,9,0,0,0
L,9578,2197,1381,749,8585,722,490,125,5696,0,140,11232,53,780,2972,3019,0,916,818,1719,4818,0,127,40,95,21
M,4200,27,0,173,4588,0,54,124,6505,0,5,431,528,183,6963,12,0,1279,426,214,812,0,9,8,104,3
N,36531,2,0,201,17047,1,474,94,29384,0,2355,21,52,980,18871,5,0,2275,101,117,5146,0,1421,0,13,0
O,45,2649,7576,6598,435,8388,3700,13308,4254,444,48,4909,4670,10553,4287,3079,0,7716,6246,18404,111,637,4725,2343,4358,134
P,2333,0,0,5,2339,0,3,3,1090,0,3,222,1744,35,1439,1566,0,353,1857,14,2057,0,1,356,39,2
Q,9,0,75,0,306,0,0,0,32,0,0,11,1,161,75,0,0,22,395,0,1,0,0,2,0,2
R,11975,1755,1183,1432,27321,2542,2269,1024,4112,0,6,382,43,32,19479,3392,0,1970,7,4203,8061,1,493,0,58,0
S,15170,454,34,1845,14132,50,738,197,17213,0,658,1156,1872,4092,3797,433,0,5321,4873,2796,5432,0,446,0,1344,0
T,19579,295,2205,15,5075,1117,121,3633,15796,0,0,1089,8,10703,9781,1129,0,4624,11861,2520,7030,0,3,289,352,0
U,1556,2918,1331,1446,57,1178,1024,920,59,622,10,948,1359,365,19476,1111,4213,1627,2879,2711,0,24,0,12,1,6
V,4881,8,0,580,3065,0,0,0,2892,0,0,538,0,344,2661,0,0,1033,10,0,2,0,0,56,0,0
W,1033,0,0,45,956,0,6,36,2,0,9,165,0,67,5958,9,0,194,823,881,0,0,12,0,33,0
X,52,0,0,0,1414,0,0,0,2638,0,0,30,0,65,47,0,0,0,0,1,19,0,0,130,0,0
Y,4818,2312,213,1204,3703,95,35,986,0,0,83,3709,3299,1926,383,199,0,3133,229,2056,32,64,10,3,0,35
Z,255,0,0,0,120,0,0,0,149,0,0,0,0,377,40,0,0,2,0,0,26,0,0,0,0,23
